TYPE,Spicer,
Epinephrine,Increased response time,Commonplace
Panacea,Heals wounds,Commonplace
Oxytocin,Mental soothing,Commonplace
Lubricants,For industrial use,Commonplace
Neverclear,Medicinal alcohol,Unusual
Aphroditus,Aphrodisiac and sensory enhancer,Unusual
Nectar,Psychotropic drug,Unusual
Orpheus Slumber,Sleep inducer,Unusual
Ocean Blue,Natural cleaning fluid,Soughtafter
GM Precusor,Industrial precursor to GMOs,Soughtafter
Morteks,Prevents fear responses,Soughtafter
Antiballistic Serum,Natural gel with antiballistic properties,Soughtafter
Confusia,Clears confusion and mental health issues,Coveted
Bioluminescents,Natural lighting,Coveted
Immobile Smoke,Can contain smoke and pollutants,Coveted
Ambrosia,Amber based nootropic drug,Coveted
Chronomorph,Slows users perception of time,Legendary
Epiphos,Allows greater concentration and insight,Legendary
Nidrfoenix,Can resuscitate recently deceased,Legendary
Athelas,Very rare tobacco alternative,Legendary
TYPE,Weaver,
Jute,Food transportation. Precursor.,Commonplace
Cloth,Weaving. Clothing.,Commonplace
Cotton,Thread. Insulation. Comfort. Bandages.,Commonplace
Nylite,Temperature control. Civilian clothing.,Commonplace
eFabric,Expensive clothing. Military applications.,Unusual
Aramid,Sports wear. Underarmour. Protection.,Unusual
Linen,Rugs. Decoration. Clothing.,Unusual
Elastics,Industrial and commercial applications.,Unusual
Cashmere,Luxury clothing.,Soughtafter
Nydian Fur,Luxury clothing.,Soughtafter
Soft Leather,Luxury clothing.,Soughtafter
Adamantis,Armour. Civilian defense clothing.,Soughtafter
Silk,Luxury clothing.,Coveted
Mokros Skin,Armour. Decoration.,Coveted
Plaited Amber,Amber-based. Wear resistant. Luxury clothing.,Coveted
Nagl Hide,Trophies. Luxury clothing.,Coveted
Boreal Gossamer,Luxury clothing.,Legendary
Woven Metal,Military and industrial applications. Luxury clothing.,Legendary
Liquid Cloth,Luxury clothing.,Legendary
Hera's Tears,Luxury clothing. Decoration.,Legendary
TYPE,Temperer,
Clay,Industrial applications. Base for other materials.,Commonplace
Carbon Fibre,Strong structural material.,Commonplace
Silica Glass,Ordinary glass.,Commonplace
Alumina,Purification. Catalysis. Base for other materials.,Commonplace
Hologlass,3D displays and laser refractors.,Unusual
Nanotubes,High tensile strength applications.,Unusual
Heatpads,Very high temperature heat absorbers.,Unusual
Boron-Carbide,Structural reinforcement.,Unusual
Vac-Glass,Ship windows.,Soughtafter
Data Glass,Data storage.,Soughtafter
Graphene,Medical. Military. Civilian. Electronics.,Soughtafter
Ceramic Cloth,Low weight/cost structural material.,Soughtafter
Permacarbon,Wearproof heat absorbers.,Coveted
Fluorocin,Self illuminating glass. Displays.,Coveted
Trinitite,Safe radioactive material storage.,Coveted
Ceramiglass,Extreme heat resistance and transparency.,Coveted
Pellucidic Glass,Laser light promotion/protection.,Legendary
Obsidian,Optics. Jewellery.,Legendary
Semisolids,Mouldable/bendable yet strong products.,Legendary
Photophilic Glass,Photon capture and storage.,Legendary
TYPE,Purifier,
Tin,,Commonplace
LOx,Chemical rocket fuel. Oxygen storage.,Commonplace
Carbon,,Commonplace
Lead,,Commonplace
Mercury,,Unusual
Gallium,,Unusual
Copper,Basic conductor. Heat dissipator.,Unusual
Indium,,Unusual
Silver,,Soughtafter
Titanium,,Soughtafter
Deuterium,Fusion generators.,Soughtafter
Aluminium,,Soughtafter
Palladium,,Coveted
Iridium,,Coveted
Earth Metals,Fusion reactors. Superconductor component.,Coveted
Gold,,Coveted
Platinum,,Legendary
Radioactives,Radioactive sources. Military. Scientific.,Legendary
